,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
447,Punjab,2003,02. Kidnapping & Abduction of Women & Girls,73,102,164,6,25,156,266,4,154,285,554,494,295,164,98,0,0,658,113,1,253,244,46,415,372,689,52,159,605,849
448,Rajasthan,2003,02. Kidnapping & Abduction of Women & Girls,556,191,495,33,188,1049,686,0,157,142,3659,3941,1750,495,744,0,0,4436,1336,62,921,925,394,18,12,8643,2,1730,9510,10435
449,Sikkim,2003,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
450,Tamil Nadu,2003,02. Kidnapping & Abduction of Women & Girls,262,87,296,3,37,207,383,11,312,285,755,761,632,296,299,0,4,1057,582,4,856,677,82,436,507,1928,108,664,1919,2596
451,Tripura,2003,02. Kidnapping & Abduction of Women & Girls,14,23,46,0,10,0,69,0,1,41,63,41,29,46,24,0,0,87,21,0,68,47,6,38,43,196,16,27,176,223
452,Uttar Pradesh,2003,02. Kidnapping & Abduction of Women & Girls,594,214,1025,37,631,168,1239,2,314,224,6507,6744,1499,1025,1225,0,0,7769,1340,69,2374,2309,1513,465,487,13828,43,2853,14441,16750
453,Uttarakhand,2003,02. Kidnapping & Abduction of Women & Girls,21,37,79,2,20,16,116,0,28,26,331,295,134,79,41,0,0,374,37,1,217,179,40,32,30,853,40,77,752,931
454,West Bengal,2003,02. Kidnapping & Abduction of Women & Girls,293,88,594,16,66,62,682,0,948,891,5137,4918,801,594,359,0,0,5512,799,21,1571,1309,108,1232,1211,7153,283,907,6772,8081
455,Andaman & Nicobar Islands,2004,02. Kidnapping & Abduction of Women & Girls,1,1,3,0,1,0,4,0,1,2,16,15,3,3,2,0,0,18,1,0,2,3,5,1,0,25,0,6,28,31
456,Andhra Pradesh,2004,02. Kidnapping & Abduction of Women & Girls,421,57,508,30,50,299,565,19,513,366,1407,1400,1030,508,471,0,0,1908,715,33,1105,910,116,445,534,1611,106,831,1565,2475
457,Arunachal Pradesh,2004,02. Kidnapping & Abduction of Women & Girls,0,11,25,1,2,0,36,0,23,18,300,278,41,25,2,0,0,303,0,2,34,25,5,28,21,396,16,5,378,403
458,Assam,2004,02. Kidnapping & Abduction of Women & Girls,337,542,734,94,95,207,1276,0,2305,2236,2298,2090,1552,734,432,0,0,2824,671,155,2083,1248,194,2452,2502,3077,785,865,2849,4097
459,Bihar,2004,02. Kidnapping & Abduction of Women & Girls,380,137,444,1,71,99,581,0,1001,684,3112,3120,997,444,451,0,0,3564,791,0,1606,948,137,315,815,8764,158,928,8744,9692
460,Chandigarh,2004,02. Kidnapping & Abduction of Women & Girls,19,2,31,0,1,12,33,0,6,8,76,65,43,31,20,0,0,96,9,0,61,49,33,4,10,120,6,42,113,162
461,Chhattisgarh,2004,02. Kidnapping & Abduction of Women & Girls,172,9,153,103,77,18,162,0,38,44,528,727,174,153,249,0,0,880,181,93,225,219,81,2,7,989,1,262,1125,1344
462,Dadra & Nagar Haveli,2004,02. Kidnapping & Abduction of Women & Girls,4,0,4,0,0,0,4,0,6,3,8,8,7,4,4,0,0,12,3,0,6,5,0,0,1,17,0,3,15,20
463,Daman & Diu,2004,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Delhi,2004,02. Kidnapping & Abduction of Women & Girls,114,345,274,0,13,155,619,28,1069,1000,617,470,881,274,127,0,10,744,114,0,331,297,16,156,157,597,33,130,430,727
465,Goa,2004,02. Kidnapping & Abduction of Women & Girls,4,5,4,0,1,0,9,0,7,6,22,23,10,4,5,0,0,27,6,0,14,8,1,4,6,40,4,7,39,47
466,Gujarat,2004,02. Kidnapping & Abduction of Women & Girls,413,146,611,14,46,121,757,2,137,112,4915,4777,905,611,459,0,0,5388,658,11,1171,1184,65,147,129,9077,5,723,8627,9811
467,Haryana,2004,02. Kidnapping & Abduction of Women & Girls,169,19,178,1,38,85,197,0,60,50,561,591,292,178,207,0,0,769,327,3,315,314,76,28,25,895,4,403,987,1301
468,Himachal Pradesh,2004,02. Kidnapping & Abduction of Women & Girls,39,3,32,0,4,45,35,0,50,31,160,171,99,32,43,0,0,203,49,0,73,49,3,11,17,343,18,52,346,395
469,Jammu & Kashmir,2004,02. Kidnapping & Abduction of Women & Girls,214,35,452,9,5,128,487,0,313,296,2781,2557,632,452,219,0,0,3009,350,11,672,653,5,4,5,4889,18,355,4602,5255
470,Jharkhand,2004,02. Kidnapping & Abduction of Women & Girls,130,39,163,8,36,27,202,0,63,114,756,767,178,163,166,0,0,930,73,29,336,266,67,145,192,1151,23,140,1054,1320
471,Karnataka,2004,02. Kidnapping & Abduction of Women & Girls,137,41,171,3,9,74,212,0,80,80,742,720,286,171,146,0,0,891,279,4,278,256,12,40,50,1110,12,291,1149,1405
472,Kerala,2004,02. Kidnapping & Abduction of Women & Girls,48,13,95,2,3,27,108,9,74,76,414,372,142,95,51,0,0,467,94,5,135,18,13,66,176,625,7,107,719,737
473,Lakshadweep,2004,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Madhya Pradesh,2004,02. Kidnapping & Abduction of Women & Girls,431,70,498,24,127,21,568,0,116,121,2587,2671,584,498,558,0,0,3169,634,50,986,988,178,32,29,5273,1,812,5147,6135
475,Maharashtra,2004,02. Kidnapping & Abduction of Women & Girls,413,90,579,14,31,72,669,0,239,194,4934,4813,787,579,444,0,1,5392,715,23,1125,1116,49,328,274,9108,63,764,8779,9895
476,Manipur,2004,02. Kidnapping & Abduction of Women & Girls,2,39,1,0,0,0,40,2,124,95,28,29,71,1,2,0,0,30,3,0,77,1,0,45,55,72,66,3,74,75
477,Meghalaya,2004,02. Kidnapping & Abduction of Women & Girls,2,3,9,0,0,0,12,0,29,23,87,80,18,9,2,0,0,89,2,0,16,12,0,35,36,117,3,2,107,119
478,Mizoram,2004,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,3
479,Nagaland,2004,02. Kidnapping & Abduction of Women & Girls,0,3,11,0,10,0,14,0,10,20,32,31,4,11,10,0,0,42,2,0,2,17,45,18,3,14,0,47,44,61
480,Odisha,2004,02. Kidnapping & Abduction of Women & Girls,279,34,303,0,36,66,337,0,165,146,1343,1355,423,303,315,0,1,1658,422,0,477,493,45,84,68,2143,0,467,2117,2610
481,Puducherry,2004,02. Kidnapping & Abduction of Women & Girls,5,0,5,0,1,0,5,3,10,10,7,8,8,5,6,0,0,13,7,0,6,5,3,16,17,9,0,10,14,19
482,Punjab,2004,02. Kidnapping & Abduction of Women & Girls,91,48,170,7,73,98,218,1,148,154,553,554,311,170,164,0,0,724,142,5,266,342,156,372,265,728,31,298,689,1031
483,Rajasthan,2004,02. Kidnapping & Abduction of Women & Girls,467,193,598,24,183,1089,791,0,158,157,3583,3659,1881,598,650,0,0,4257,879,35,1245,1232,392,12,25,8569,0,1271,8643,9875
484,Sikkim,2004,02. Kidnapping & Abduction of Women & Girls,0,0,3,0,0,0,3,0,1,0,3,0,4,3,0,0,0,3,0,0,4,3,0,1,0,3,2,0,0,3
485,Tamil Nadu,2004,02. Kidnapping & Abduction of Women & Girls,232,99,370,9,40,225,469,9,299,312,844,755,692,370,272,0,2,1125,592,13,985,821,65,507,552,2079,119,657,1928,2749
486,Tripura,2004,02. Kidnapping & Abduction of Women & Girls,30,9,15,0,14,3,24,0,28,1,34,63,54,15,44,0,0,78,50,0,83,79,26,43,26,199,21,76,196,275
487,Uttar Pradesh,2004,02. Kidnapping & Abduction of Women & Girls,691,443,1526,33,768,242,1969,0,427,314,6541,6507,2324,1526,1459,0,0,8033,1335,95,3709,3265,1703,487,685,13960,246,3038,13828,17093
488,Uttarakhand,2004,02. Kidnapping & Abduction of Women & Girls,14,46,62,2,21,15,108,0,32,28,356,331,127,62,35,0,0,393,89,0,202,132,61,30,28,835,72,150,853,985
489,West Bengal,2004,02. Kidnapping & Abduction of Women & Girls,331,193,633,11,28,49,826,1,1090,948,5400,5137,1018,633,359,0,0,5770,722,21,1620,1166,64,1211,1574,7512,91,786,7153,8319
490,Andaman & Nicobar Islands,2005,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,2,1,16,16,1,0,0,0,0,16,0,0,0,0,0,0,0,25,0,0,25,25
491,Andhra Pradesh,2005,02. Kidnapping & Abduction of Women & Girls,362,65,655,14,55,327,720,0,461,513,1631,1407,995,655,417,0,0,2062,634,24,1230,1036,98,534,631,1891,97,732,1611,2647
492,Arunachal Pradesh,2005,02. Kidnapping & Abduction of Women & Girls,6,13,29,7,6,0,42,0,20,23,310,300,39,29,12,0,0,329,6,7,28,20,6,21,15,397,14,12,396,416
493,Assam,2005,02. Kidnapping & Abduction of Women & Girls,351,409,726,138,113,160,1135,0,2466,2305,2422,2298,1456,726,464,0,0,3024,714,229,2250,1324,167,2502,2554,3291,874,881,3077,4401
494,Bihar,2005,02. Kidnapping & Abduction of Women & Girls,370,93,512,3,71,105,605,0,1220,1001,3180,3112,929,512,441,0,0,3624,688,6,1518,1217,124,815,644,9163,472,812,8764,9981
495,Chandigarh,2005,02. Kidnapping & Abduction of Women & Girls,13,5,12,0,0,19,17,0,15,6,75,76,45,12,13,0,0,88,17,0,39,26,0,10,10,129,13,17,120,146
496,Chhattisgarh,2005,02. Kidnapping & Abduction of Women & Girls,51,18,157,0,23,1,175,1,42,38,611,528,184,157,74,0,3,685,90,10,223,218,37,7,11,1070,1,127,989,1207
497,Dadra & Nagar Haveli,2005,02. Kidnapping & Abduction of Women & Girls,5,0,3,0,0,4,3,0,8,6,6,8,9,3,5,0,0,11,5,0,6,6,0,1,1,18,0,5,17,23
498,Daman & Diu,2005,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,1,0,1,0,2,1,0,0,0,1,0,0,4,4,0,0,0,4,0,0,0,4
499,Delhi,2005,02. Kidnapping & Abduction of Women & Girls,51,311,279,0,15,170,590,15,1378,1069,830,617,1106,279,66,0,22,896,109,0,419,305,31,157,191,762,80,140,597,902
500,Goa,2005,02. Kidnapping & Abduction of Women & Girls,3,2,6,0,0,0,8,0,11,7,25,22,12,6,3,0,0,28,11,0,18,7,0,6,16,36,1,11,40,47
501,Gujarat,2005,02. Kidnapping & Abduction of Women & Girls,316,177,604,18,51,87,781,0,185,137,5134,4915,916,604,367,0,0,5519,577,29,1147,1106,73,129,170,9504,0,650,9077,10183
502,Haryana,2005,02. Kidnapping & Abduction of Women & Girls,94,17,164,0,49,116,181,0,107,60,582,561,344,164,143,0,0,725,192,0,274,252,67,25,43,888,4,259,895,1147
503,Himachal Pradesh,2005,02. Kidnapping & Abduction of Women & Girls,52,5,49,0,2,57,54,0,41,50,155,160,102,49,54,0,0,209,84,0,115,88,5,17,38,342,6,89,343,431
504,Jammu & Kashmir,2005,02. Kidnapping & Abduction of Women & Girls,212,19,455,0,7,115,474,0,382,313,3017,2781,658,455,219,0,0,3236,370,0,741,715,7,5,9,5227,22,377,4889,5604
505,Jharkhand,2005,02. Kidnapping & Abduction of Women & Girls,81,44,160,9,13,17,204,0,125,63,813,756,283,160,94,0,0,916,986,17,207,271,37,192,106,382,22,1023,1151,1422
506,Karnataka,2005,02. Kidnapping & Abduction of Women & Girls,208,36,151,0,11,71,187,2,132,80,674,742,312,151,219,0,0,893,270,48,270,247,13,50,60,1026,13,283,1110,1357
507,Kerala,2005,02. Kidnapping & Abduction of Women & Girls,48,9,94,0,4,19,103,0,81,74,456,414,129,94,52,0,0,508,142,0,179,262,17,176,90,728,3,159,625,887
508,Lakshadweep,2005,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,Madhya Pradesh,2005,02. Kidnapping & Abduction of Women & Girls,566,86,486,113,177,24,572,0,124,116,2217,2587,604,486,743,0,0,3073,954,226,1047,1037,358,29,34,4772,5,1312,5273,6310
510,Maharashtra,2005,02. Kidnapping & Abduction of Women & Girls,381,111,571,10,34,64,682,2,342,239,5080,4934,851,571,415,0,0,5505,717,17,1338,1221,53,274,367,9542,24,770,9108,10329
511,Manipur,2005,02. Kidnapping & Abduction of Women & Girls,3,48,2,0,0,0,50,1,142,124,27,28,69,2,3,0,0,30,3,0,68,2,0,55,50,71,71,3,72,74
512,Meghalaya,2005,02. Kidnapping & Abduction of Women & Girls,3,4,3,0,0,0,7,0,41,29,87,87,19,3,3,0,0,90,24,0,16,2,0,36,46,95,4,24,117,119
513,Mizoram,2005,02. Kidnapping & Abduction of Women & Girls,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,2,3,3
514,Nagaland,2005,02. Kidnapping & Abduction of Women & Girls,20,7,10,0,18,0,17,0,2,10,4,32,9,10,38,0,0,42,2,0,6,8,17,3,0,3,1,19,14,22
515,Odisha,2005,02. Kidnapping & Abduction of Women & Girls,198,24,324,0,23,87,348,0,277,165,1446,1343,547,324,221,0,0,1667,291,0,530,520,37,68,70,2335,8,328,2143,2663
516,Puducherry,2005,02. Kidnapping & Abduction of Women & Girls,1,0,6,0,1,1,6,0,6,10,11,7,3,6,2,0,0,13,4,0,2,10,1,17,9,14,0,5,9,19
517,Punjab,2005,02. Kidnapping & Abduction of Women & Girls,70,44,163,1,17,92,207,0,178,148,628,553,329,163,87,0,0,716,147,3,361,295,34,265,291,839,40,181,728,1023
518,Rajasthan,2005,02. Kidnapping & Abduction of Women & Girls,368,220,494,35,155,884,714,0,109,158,3519,3583,1549,494,523,0,0,4077,804,79,926,933,362,25,15,8257,3,1166,8569,9502
519,Sikkim,2005,02. Kidnapping & Abduction of Women & Girls,0,0,2,0,0,0,2,0,1,1,5,3,2,2,0,0,0,5,0,0,3,1,0,0,1,4,1,0,3,4
520,Tamil Nadu,2005,02. Kidnapping & Abduction of Women & Girls,297,153,347,6,73,253,500,19,310,299,813,844,783,347,370,2,0,1189,753,5,911,964,146,552,366,2086,133,899,2026,2990
521,Tripura,2005,02. Kidnapping & Abduction of Women & Girls,35,23,37,0,8,0,60,0,11,28,28,34,43,37,43,0,0,71,103,1,69,59,11,26,24,143,12,114,199,258
522,Uttar Pradesh,2005,02. Kidnapping & Abduction of Women & Girls,643,424,1538,69,721,218,1962,0,503,427,6646,6541,2256,1538,1364,0,0,8079,1309,106,3593,3260,1517,685,789,14288,229,2826,13960,17220
523,Uttarakhand,2005,02. Kidnapping & Abduction of Women & Girls,38,36,65,1,39,17,101,0,39,32,343,356,125,65,77,0,0,421,48,0,223,136,69,28,63,854,52,117,835,971
524,West Bengal,2005,02. Kidnapping & Abduction of Women & Girls,320,176,799,13,66,24,975,0,1130,1090,5800,5400,1039,799,386,0,0,6199,646,29,1565,1442,211,1574,1472,8068,225,857,7512,8954
525,Andaman & Nicobar Islands,2006,02. Kidnapping & Abduction of Women & Girls,0,0,7,0,0,0,7,0,0,2,23,16,5,7,0,0,0,23,0,0,10,10,0,0,0,35,0,0,25,35
526,Andhra Pradesh,2006,02. Kidnapping & Abduction of Women & Girls,436,42,709,47,71,391,751,0,648,461,1786,1631,1329,709,507,0,0,2340,831,52,1326,1250,156,631,612,2102,95,987,1891,3141
527,Arunachal Pradesh,2006,02. Kidnapping & Abduction of Women & Girls,5,10,37,3,3,0,47,0,24,20,336,310,51,37,8,0,0,347,7,3,51,37,5,15,17,419,12,12,397,434
528,Assam,2006,02. Kidnapping & Abduction of Women & Girls,527,471,798,92,102,181,1269,0,2560,2466,2499,2422,1544,798,629,0,0,3220,804,187,1848,1011,113,2554,2606,3198,785,917,3291,4302
529,Bihar,2006,02. Kidnapping & Abduction of Women & Girls,461,270,643,4,118,217,913,0,1174,1220,3240,3180,1084,643,579,0,0,3823,971,10,1961,1350,218,644,1045,9314,210,1189,9163,10513
530,Chandigarh,2006,02. Kidnapping & Abduction of Women & Girls,24,4,27,0,5,24,31,0,17,15,73,75,57,27,29,0,0,102,54,0,50,46,7,10,6,114,8,61,129,175
531,Chhattisgarh,2006,02. Kidnapping & Abduction of Women & Girls,76,17,156,8,45,4,173,1,42,42,638,611,178,156,121,0,0,767,115,4,177,175,57,11,13,1069,0,172,1070,1245
532,Dadra & Nagar Haveli,2006,02. Kidnapping & Abduction of Women & Girls,1,2,9,0,0,4,11,0,7,8,14,6,14,9,1,0,0,15,1,0,7,8,0,1,0,25,0,1,18,26
533,Daman & Diu,2006,02. Kidnapping & Abduction of Women & Girls,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,2,4,0,1,1,0,0,0,1,0,4,4,5
534,Delhi,2006,02. Kidnapping & Abduction of Women & Girls,71,251,247,0,40,155,498,17,1751,1378,966,830,1066,247,111,0,23,1077,57,0,402,390,74,191,119,1021,84,131,762,1152
535,Goa,2006,02. Kidnapping & Abduction of Women & Girls,2,3,10,0,0,1,13,0,7,11,33,25,10,10,2,0,0,35,2,0,12,12,0,16,8,46,8,2,36,48
536,Gujarat,2006,02. Kidnapping & Abduction of Women & Girls,385,143,654,22,76,100,797,6,227,185,5305,5134,945,654,461,0,0,5788,676,47,1142,1152,135,170,159,9798,1,811,9504,10656
537,Haryana,2006,02. Kidnapping & Abduction of Women & Girls,131,25,263,0,55,139,288,0,111,107,659,582,431,263,186,0,0,845,191,0,395,403,64,43,35,1036,0,255,888,1291
538,Himachal Pradesh,2006,02. Kidnapping & Abduction of Women & Girls,32,7,45,4,6,53,52,0,45,41,158,155,109,45,38,0,0,200,51,11,77,75,7,38,22,348,18,58,342,417
539,Jammu & Kashmir,2006,02. Kidnapping & Abduction of Women & Girls,206,16,571,9,8,146,587,0,372,382,3365,3017,723,571,214,0,0,3588,341,14,862,853,18,9,4,5707,14,359,5227,6080
540,Jharkhand,2006,02. Kidnapping & Abduction of Women & Girls,133,59,250,3,25,34,309,0,192,125,902,813,410,250,158,0,0,1063,191,33,378,289,42,106,175,405,20,233,382,671
541,Karnataka,2006,02. Kidnapping & Abduction of Women & Girls,144,43,198,1,8,84,241,5,129,132,719,674,328,198,152,0,1,872,243,1,357,310,15,60,79,1077,28,258,1026,1336
542,Kerala,2006,02. Kidnapping & Abduction of Women & Girls,66,7,149,3,4,16,156,0,111,81,532,456,202,149,70,0,0,605,119,6,219,175,10,90,134,768,0,129,728,903
543,Lakshadweep,2006,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,Madhya Pradesh,2006,02. Kidnapping & Abduction of Women & Girls,420,72,515,2,215,14,587,0,140,124,2095,2217,617,515,635,0,0,2732,655,3,869,860,337,34,43,4637,0,992,4772,5632
545,Maharashtra,2006,02. Kidnapping & Abduction of Women & Girls,298,126,609,14,36,84,735,0,444,342,5341,5080,921,609,334,0,0,5689,606,20,1324,1155,60,367,472,10011,64,666,9542,10697
546,Manipur,2006,02. Kidnapping & Abduction of Women & Girls,0,63,0,0,1,0,63,0,158,142,26,27,79,0,1,0,0,27,1,0,49,0,0,50,72,70,27,1,71,71
547,Meghalaya,2006,02. Kidnapping & Abduction of Women & Girls,3,6,10,1,0,0,16,0,50,41,93,87,25,10,3,0,0,97,4,1,27,15,0,46,56,105,2,4,95,110
548,Mizoram,2006,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,2,0,1,0,0,0,0,1,1,1,2,0,0,2,0,0,1,1,2,0,0,0,0,2,1,2
549,Nagaland,2006,02. Kidnapping & Abduction of Women & Girls,0,0,3,0,2,0,3,0,2,2,5,4,3,3,2,0,0,7,1,0,5,5,6,0,0,1,0,7,3,8
550,Odisha,2006,02. Kidnapping & Abduction of Women & Girls,233,26,396,0,46,91,422,1,340,277,1563,1446,577,396,279,0,0,1842,412,0,558,536,63,70,92,2396,0,475,2335,2871
551,Puducherry,2006,02. Kidnapping & Abduction of Women & Girls,2,0,8,0,0,1,8,1,9,6,17,11,13,8,2,0,0,19,2,0,20,14,0,9,15,26,0,2,14,28
552,Punjab,2006,02. Kidnapping & Abduction of Women & Girls,76,58,162,0,19,103,220,0,273,178,695,628,418,162,95,0,0,790,178,0,471,282,43,291,438,900,42,221,839,1121
553,Rajasthan,2006,02. Kidnapping & Abduction of Women & Girls,352,161,546,24,225,859,707,0,96,109,3464,3519,1553,546,577,0,0,4065,784,118,1011,1012,571,15,12,7796,2,1355,8257,9269
554,Sikkim,2006,02. Kidnapping & Abduction of Women & Girls,0,1,4,0,0,0,5,0,3,1,9,5,7,4,0,0,0,9,0,0,0,1,0,1,0,5,0,0,4,5
555,Tamil Nadu,2006,02. Kidnapping & Abduction of Women & Girls,307,100,350,11,58,195,450,10,359,310,787,813,718,350,365,0,14,1163,808,5,1052,691,174,366,568,1790,159,982,2086,2777
556,Tripura,2006,02. Kidnapping & Abduction of Women & Girls,12,22,27,0,8,0,49,0,24,11,35,28,62,27,20,0,0,55,16,0,61,42,5,24,21,164,22,21,143,185
557,Uttar Pradesh,2006,02. Kidnapping & Abduction of Women & Girls,839,577,1815,66,903,257,2392,0,405,503,6653,6646,2551,1815,1742,0,0,8461,1600,116,4270,3965,2018,789,670,14519,424,3618,14288,18253
558,Uttarakhand,2006,02. Kidnapping & Abduction of Women & Girls,41,42,133,27,49,17,175,0,30,39,359,343,183,133,90,0,0,476,94,17,314,255,138,63,61,860,61,232,854,1109
559,West Bengal,2006,02. Kidnapping & Abduction of Women & Girls,626,233,838,19,120,24,1071,0,1234,1130,5873,5800,1199,838,746,0,0,6638,1005,41,1660,1251,180,1472,1558,8093,323,1185,8068,9319
560,Andaman & Nicobar Islands,2007,02. Kidnapping & Abduction of Women & Girls,2,0,3,0,0,0,3,0,6,0,24,23,9,3,2,0,0,26,6,0,6,3,0,0,3,32,0,6,35,38
561,Andhra Pradesh,2007,02. Kidnapping & Abduction of Women & Girls,496,47,1003,84,60,495,1050,0,667,648,2149,1786,1564,1003,556,0,0,2789,804,128,1674,1424,129,612,802,2465,60,933,2102,3526
562,Arunachal Pradesh,2007,02. Kidnapping & Abduction of Women & Girls,1,13,33,2,4,0,46,0,22,24,362,336,44,33,5,0,0,369,2,1,51,37,5,17,12,448,19,7,419,456
563,Assam,2007,02. Kidnapping & Abduction of Women & Girls,575,413,886,82,250,167,1299,0,2565,2560,2478,2499,1471,886,825,0,0,3385,807,64,1721,1034,225,2606,2639,3136,654,1032,3198,4232
564,Bihar,2007,02. Kidnapping & Abduction of Women & Girls,598,213,787,8,78,248,1000,0,1186,1174,3343,3240,1260,787,676,0,0,4027,1256,21,2085,1742,157,1045,1189,9622,199,1413,9314,11056
565,Chandigarh,2007,02. Kidnapping & Abduction of Women & Girls,16,1,23,0,10,14,24,0,25,17,70,73,46,23,26,0,0,96,20,0,45,31,13,6,14,112,6,33,114,145
566,Chhattisgarh,2007,02. Kidnapping & Abduction of Women & Girls,51,16,148,1,16,7,164,0,52,42,718,638,181,148,67,0,0,786,64,1,196,198,38,13,11,1164,0,102,1069,1267
567,Dadra & Nagar Haveli,2007,02. Kidnapping & Abduction of Women & Girls,3,2,5,0,0,1,7,0,5,7,16,14,6,5,3,0,0,19,3,0,7,7,0,0,0,29,0,3,25,32
568,Daman & Diu,2007,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,1,1,2,1,1,1,0,0,0,2,0,0,3,3,0,0,0,4,0,0,1,4
569,Delhi,2007,02. Kidnapping & Abduction of Women & Girls,68,314,277,0,38,198,591,28,2082,1751,1137,966,1167,277,106,0,19,1243,68,0,352,204,80,119,185,1077,82,148,1021,1225
570,Goa,2007,02. Kidnapping & Abduction of Women & Girls,2,3,2,0,2,0,5,0,9,7,31,33,7,2,4,0,0,35,6,0,8,2,3,8,11,39,3,9,46,48
571,Gujarat,2007,02. Kidnapping & Abduction of Women & Girls,277,182,789,6,55,95,971,6,244,227,5756,5305,1089,789,332,0,0,6094,474,23,1356,1310,87,159,204,10524,1,561,9798,11108
572,Haryana,2007,02. Kidnapping & Abduction of Women & Girls,170,25,311,1,50,170,336,0,159,111,749,659,554,311,220,0,0,970,305,3,490,463,95,35,62,1096,0,400,1036,1499
573,Himachal Pradesh,2007,02. Kidnapping & Abduction of Women & Girls,34,8,51,5,3,71,59,0,65,45,167,158,150,51,37,0,0,209,50,8,106,75,7,22,46,358,7,57,348,423
574,Jammu & Kashmir,2007,02. Kidnapping & Abduction of Women & Girls,278,41,496,2,2,197,537,0,345,372,3579,3365,707,496,280,0,0,3861,476,19,959,956,2,4,3,6166,4,478,5707,6663
575,Jharkhand,2007,02. Kidnapping & Abduction of Women & Girls,298,74,339,3,125,23,413,0,290,192,815,902,534,339,423,0,0,1241,240,0,549,487,129,175,218,523,19,369,405,892
576,Karnataka,2007,02. Kidnapping & Abduction of Women & Girls,138,79,194,0,13,92,273,10,143,129,762,719,390,194,151,0,1,913,297,3,373,337,25,79,92,1089,23,322,1077,1414
577,Kerala,2007,02. Kidnapping & Abduction of Women & Girls,56,8,147,3,9,12,155,0,121,111,611,532,177,147,65,0,0,679,122,4,194,214,14,134,114,842,0,136,768,982
578,Lakshadweep,2007,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Madhya Pradesh,2007,02. Kidnapping & Abduction of Women & Girls,450,89,585,47,146,20,674,0,147,140,2037,2095,701,585,596,0,0,2680,794,49,906,920,301,43,29,4413,0,1095,4637,5557
580,Maharashtra,2007,02. Kidnapping & Abduction of Women & Girls,292,121,676,15,53,96,797,0,518,444,5657,5341,967,676,345,0,0,6017,543,23,1286,1243,79,472,467,10609,48,622,10011,11254
581,Manipur,2007,02. Kidnapping & Abduction of Women & Girls,4,48,1,0,1,0,49,0,192,158,22,26,83,1,5,0,0,27,4,0,59,1,1,72,65,66,65,5,70,71
582,Meghalaya,2007,02. Kidnapping & Abduction of Women & Girls,1,4,3,0,4,0,7,0,65,50,91,93,22,3,5,0,0,96,3,0,12,15,6,56,49,111,4,9,105,120
583,Mizoram,2007,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
